Product Name,URL,Price(Rs.),Rating(Out of 5 stars),Number of Reviews
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODY0MTM2MTUxMTMzNjc0OjE2NzUzODA5MjA6c3BfYnRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_37_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380920%26sprefix%3Dba%252Caps%252C283%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,998,3.9,684
HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1ODY0MTM2MTUxMTMzNjc0OjE2NzUzODA5MjA6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_38_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380920%26sprefix%3Dba%252Caps%252C283%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"1,424",4.3,7643
,,,,
Anti Theft Faux Leather,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzUzMjcxNDE2MTQ3NzI1OjE2NzUzODA5MjI6c3BfYXRmX25leHQ6MjAxMDc1NjE2NjcxOTg6OjA6Og&url=%2FAnti-Theft-Faux-Leather-Black%2Fdp%2FB08WLS5XBP%2Fref%3Dsr_1_33_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380922%26sprefix%3Dba%252Caps%252C283%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,499,3.9,51
"Chris & Kate 42ltr Navy-Red Comfortable Casual, School Backpack",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzUzMjcxNDE2MTQ3NzI1OjE2NzUzODA5MjI6c3BfYXRmX25leHQ6MjAwOTE3MDIwOTMxOTg6OjA6Og&url=%2FChris-Kate-Navy-Red-Comfortable-Backpack%2Fdp%2FB0BKWF2Q38%2Fref%3Dsr_1_34_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380922%26sprefix%3Dba%252Caps%252C283%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,549,,
American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-BAG01/dp/B07CJCFNZG/ref=sr_1_35?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-35,"1,159",4.1,14190
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-36,689,3.9,2690
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_37?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-37,589,3.6,343
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port",https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-38,489,3.8,9820
"ZANIC'S Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags (Pink)",https://www.amazon.in/Capacity-Cosmetic-Portable-Cosmetics-Organizer/dp/B0BR123Z9J/ref=sr_1_39?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-39,749,4.4,26
Gear Polyester 74 Cms Duffle Bag(Dufcrstng0406_Grey),https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_40?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-40,539,4.1,15917
"SIDRUM WF-18 DSLR/SLR Camera Shoulder Bag Case with Adjustable Shoulder Strap & Rain Cover, Compatible for Nikon, Canon, Sony Mirrorless Cameras - Waterproof - Breathable - Anti Shock (Orange-Black)",https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09P74TZY8/ref=sr_1_41?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-41,664,4.4,810
F Gear String 11 Ltrs Nylon Black Gym Bag,https://www.amazon.in/F-Gear-String-Polyester-33-cms-Black-Drawstring-Gym-Bag/dp/B07PC28YQ9/ref=sr_1_42?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-42,189,4.0,415
HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzUzMjcxNDE2MTQ3NzI1OjE2NzUzODA5MjI6c3BfbXRmOjIwMTAzMTMxMjM5Mjk4OjowOjo&url=%2FHP-Lightweight-100-Black-Backpack%2Fdp%2FB08CY1YXCK%2Fref%3Dsr_1_43_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380922%26sprefix%3Dba%252Caps%252C283%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,899,4.0,516
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzUzMjcxNDE2MTQ3NzI1OjE2NzUzODA5MjI6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_44_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675380922%26sprefix%3Dba%252Caps%252C283%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,599,3.7,33
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_45?crid=2M096C61O4MLT&keywords=bags&qid=1675380922&sprefix=ba%2Caps%2C283&sr=8-45,899,3.9,8758
